,CUST_ID,CUST_SEX,CUST_AGE,CUST_MARRY,BUYERPART,CAR_MODEL,CAR_COLOR,CAR_AGE,CAR_PRICE,IS_LOAN,LOAN_PERIED,LOAN_AMOUNT,F_INSORNOT,ALL_BUYINS_N,DLRSI_CNT,GLASSBUYSEPARATE_CNT,SII_CNT,IS_LOST
594,191B90AA7F8324B4AFE84C63C0485AE7,1,1,0,1,3,0,2,2,1.0,3.0,2,1.0,1.0,0.0,0.0,0.0,0
603,F3C0F52ABA9151DF5D2E2F9DE17C1461,1,1,0,1,3,0,2,2,1.0,5.0,2,1.0,1.0,0.0,0.0,0.0,0
605,03F5A437C8282458C68E00FF10900857,1,2,0,1,3,0,2,2,1.0,3.0,2,0.0,0.0,0.0,0.0,0.0,0
607,1FB480AC86EBA97E26F1416D269D4E55,1,1,0,1,3,0,2,2,1.0,3.0,2,1.0,1.0,0.0,0.0,0.0,0
609,941BEEBF7746740A9B9DF699B577C404,1,1,0,1,3,0,2,2,1.0,4.0,1,1.0,1.0,0.0,0.0,0.0,0
610,7014C9E29E9349EB1BD1A1E46E190D75,1,2,0,1,3,0,2,2,1.0,4.0,2,1.0,1.0,0.0,0.0,0.0,0
616,2EF03001A61FEEC194F07FF683F1A23E,2,1,0,1,3,0,2,2,1.0,4.0,2,1.0,1.0,0.0,0.0,0.0,0
618,6D9826BE5D1A476696D47E401F5E29B5,2,1,0,1,3,0,2,2,1.0,5.0,2,1.0,1.0,0.0,0.0,0.0,0
621,E229D02A04E220BEC205D2935BB43C51,1,2,0,1,3,0,2,2,1.0,5.0,2,1.0,1.0,0.0,0.0,0.0,0
622,FAC2C255C65A11C6D7E89B027F635808,2,1,0,1,3,0,2,2,1.0,5.0,2,1.0,1.0,0.0,0.0,0.0,0
627,56F6553E406984F3A579DBA9A72BB6A4,2,1,0,1,3,0,2,2,1.0,6.0,2,1.0,1.0,0.0,0.0,0.0,0
629,35B3B035070222B06D064C79AFED534A,1,2,0,2,3,0,2,2,1.0,3.0,2,1.0,1.0,0.0,0.0,0.0,0
631,57DC42C912CDACBF2ECECDA04EFB6E14,1,2,0,1,3,黑云母色,2,2,1.0,3.0,1,1.0,1.0,0.0,0.0,0.0,0
632,85429771DB6299784416CBC87A6009ED,1,1,0,1,3,0,2,2,1.0,3.0,2,1.0,1.0,0.0,0.0,0.0,0
635,0B825C225A88AE3BB7F752440E32A899,1,2,0,1,3,冰玉蓝金属,2,2,1.0,3.0,2,1.0,1.0,0.0,0.0,0.0,0
636,41E50D978678103C468A3E5DE7D3A375,1,1,0,1,3,0,2,2,1.0,3.0,2,1.0,1.0,0.0,0.0,0.0,0
637,56C0E1027A4E5D04BC7A26905693C410,1,2,0,1,3,0,2,2,1.0,5.0,2,1.0,1.0,0.0,0.0,1.0,0
638,D528B1DE3419FEE25925DDDB93DA1FB8,1,1,0,1,3,冰玉蓝金属,2,2,1.0,4.0,2,1.0,1.0,0.0,0.0,0.0,0
640,570934411A73B4C0FF0A100591C422C7,1,2,0,1,3,银金属色,2,2,1.0,3.0,2,1.0,1.0,1.0,1.0,0.0,0
753,8EDE11E3042AE227127230FF0C9A147E,2,2,0,1,3,0,2,2,1.0,3.0,2,1.0,1.0,1.0,0.0,0.0,0
758,3D655502F74C9A85E56BAA321D8FE066,1,2,已婚,1,3,铂青铜金属,2,2,1.0,5.0,2,1.0,1.0,1.0,0.0,0.0,0
759,0DE71110E35FB047F796D1E3632CC788,1,1,0,1,3,0,2,2,1.0,5.0,2,0.0,0.0,0.0,0.0,0.0,0
761,324410DB442DEB4363A243AE6126D86F,1,1,0,1,3,红色,2,2,1.0,4.0,2,1.0,1.0,0.0,0.0,0.0,0
763,E023E67FBD68F46A3C1FAF16236167B8,1,2,0,1,3,0,2,2,1.0,5.0,2,1.0,1.0,0.0,0.0,0.0,0
765,34BD66D415977A1C4FE774910E71F001,2,2,0,1,3,0,2,2,1.0,5.0,2,1.0,1.0,0.0,0.0,0.0,0
766,8E7C785A49C091BFC4CB62B58268969A,1,2,0,1,3,0,2,2,1.0,5.0,2,1.0,1.0,0.0,1.0,0.0,0
