,CUST_ID,CUST_SEX,CUST_AGE,CUST_MARRY,BUYERPART,CAR_MODEL,CAR_COLOR,CAR_AGE,CAR_PRICE,IS_LOAN,LOAN_PERIED,LOAN_AMOUNT,F_INSORNOT,ALL_BUYINS_N,DLRSI_CNT,GLASSBUYSEPARATE_CNT,SII_CNT,IS_LOST
597,604236C2F82756E9E5963086D08F104B,2,2,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
600,4988B63F4775B93C621E620B85A2D774,1,2,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,1.0,0.0,0
612,A8828625DC4FA023922DB570D9C90FF8,1,2,0,1,3,银金属色,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
620,0F0DAD0FE29E41709BEA05DE10EB8042,1,2,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
749,1F4AB9D11612962BE49A871AD2F153D3,1,2,已婚,1,3,0,2,2,0.0,0.0,4,1.0,1.0,1.0,0.0,0.0,0
750,765972E86EC31964BDAAE618A27F5139,1,1,0,1,3,黑云母色,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
751,1C4D7B8B0391DE7DA4B5C4766E0F65DF,1,1,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
846,1D6B63A6CD5C8C7CDF88891D4F506F1E,1,1,0,1,3,银金属色,2,2,0.0,0.0,4,1.0,1.0,1.0,0.0,0.0,0
875,09B0BD241F19CE71BD6A7D08A382DFD3,1,2,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,1.0,0.0,0
879,9FA72A3A10C099EAE82F7C2A684275A7,1,2,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,1.0,0.0,0
1001,94FB97AD7AD4B39C520CAD2373A985BC,1,2,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
1006,19880DDBF353C84F5C2FA8D03B6C9736,2,1,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
1026,4C086D58729A568FA6F3E9D489B69748,1,2,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,1.0,0.0,0.0,0
1165,79594D9A47DEA6B3A047B78003A6D69B,2,2,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,1.0,0
1169,9D63218D30807F293F513774CB265029,1,1,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
1176,C0469DE67E426B8F5E50DD5B54373BF0,1,1,已婚,1,3,蓝金属色,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,1.0,0
1177,3DE027C834660F073ABF168B1C4F89A4,1,2,0,1,3,铂青铜金属,2,2,0.0,0.0,4,1.0,1.0,0.0,1.0,0.0,0
1182,064EB100D1A181C10BD93917E507D747,1,1,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
1187,4C08F4EB1DE4A976CF7F64EE86E2B5FA,2,1,已婚,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
1320,B5AF7AB122F03AC4ABF9A0A23BDD5F4E,1,1,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
1325,B519A7BB750DF80B459721190E8E652E,1,2,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,1.0,0.0,0
1336,0EAD7C7E6A5109FB18AD05338C5AC50A,1,1,已婚,1,3,0,2,2,0.0,0.0,4,1.0,1.0,1.0,0.0,0.0,0
1350,F815AD7C483D4518514A01B31C2433B4,1,1,0,2,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
1362,E8500BFE190FCE657D32126D0BC40A4C,1,2,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
1462,321BAEE37E88DC58DEC22BFFF8816042,2,2,0,1,3,银金属色,2,3,0.0,0.0,4,1.0,1.0,1.0,1.0,1.0,0
1478,C0985CF8CCC3F49F98A0525069989C2C,1,2,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,1.0,0.0,0
1601,48BD0F100E845F677C5D08CDB1B81FFF,1,2,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
1637,1A90DD30911791CC61D416BB7F0A82BA,2,1,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
1731,AC1BE1015E956BEAA20A64482D8CC448,1,2,0,1,3,0,2,2,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,0
