,CUST_ID,CUST_SEX,CUST_AGE,CUST_MARRY,BUYERPART,CAR_MODEL,CAR_COLOR,CAR_AGE,CAR_PRICE,IS_LOAN,LOAN_PERIED,LOAN_AMOUNT,F_INSORNOT,ALL_BUYINS_N,DLRSI_CNT,GLASSBUYSEPARATE_CNT,SII_CNT,IS_LOST
1353,46182225A79D4D28067EAD44A103F811,1,1,0,1,3,0,2,2,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
1619,FF01C6A6EE79BD32DCCE9B79C4126B50,1,1,0,1,3,0,2,2,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
1748,499BE5E4B618E2DA6AE9C17BC90280D3,2,2,0,1,3,0,2,2,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
2223,E818DBB8DE014C2F966B414460C1414B,2,2,0,1,7,0,2,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
2265,B3CECB29E543A21D59E14B0C63551150,1,2,0,1,7,0,2,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
2274,32C8C752CC01A241E6F2C6145C3BF6F5,2,1,0,1,7,0,2,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
2338,41ADE4EB4A94CEEE8B52634812666F62,1,1,0,1,7,0,3,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
2413,7FB741E74340AA1D036A664475F061DB,2,2,0,1,7,0,2,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
2627,4D717F9FF8A1CF8D16B13A4B4881FF7A,2,2,0,2,7,黑云母色,2,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
2720,F61C9F02F5FF2FE26DE20B68B2D8E4D1,2,1,0,1,7,紫云母金属,3,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
2789,4E0A280BF1CEDF33C18F4D460A1A19FA,2,2,已婚,1,7,0,2,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
2794,C488B8FDD1BF67A9888DA6185192A291,1,2,已婚,1,7,0,2,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
2851,A6E6F5CD91420C84CB586E9082CEDAE3,1,2,0,2,7,0,2,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
2934,B519AADC05F85F6191944676BC5182C8,1,2,0,1,7,银金属色,3,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
3032,36CD7F4D8B8B07BD7963864E1E10FC09,1,2,已婚,1,7,0,2,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
3140,E92B222A06063960C6D3B6918FDC8FF2,1,2,0,2,7,紫云母金属,2,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
3255,F74F8036E8E8CE32536D18EAF0838D95,1,1,已婚,1,7,0,2,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
3323,2065BF398A8CEAB993E31A6C428D0B9C,2,1,0,1,7,0,3,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
3410,895E7822B617623F7F750033EDA1F02E,1,1,已婚,1,7,0,2,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
3425,9D0ACF209F66BF3E6C8C70238A087439,1,2,0,1,7,0,2,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
3529,BCD94AF8D5A3C06ADD25738411891591,2,2,0,1,7,0,3,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
3615,9F7063CA4FC26E957401B8E6342BB753,2,2,0,1,7,0,2,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
3689,CA2E7A3E1B74052DA3BC68951AC190FC,1,1,0,1,7,0,3,1,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1
