,CUST_ID,CUST_SEX,CUST_AGE,CUST_MARRY,BUYERPART,CAR_MODEL,CAR_COLOR,CAR_AGE,CAR_PRICE,IS_LOAN,LOAN_PERIED,LOAN_AMOUNT,F_INSORNOT,ALL_BUYINS_N,DLRSI_CNT,GLASSBUYSEPARATE_CNT,SII_CNT,IS_LOST
592,94C617DF7ECF535C4931BED166F61D10,1,2,0,1,3,银金属色,2,2,0.0,0.0,4,1.0,2.0,1.0,2.0,0.0,0
595,676ED8703C3F26D5334A8B692791E560,1,2,已婚,1,3,银金属色,2,2,1.0,5.0,2,1.0,2.0,0.0,0.0,0.0,0
596,D8D25474F7B322D85DFDC8A187597DA0,2,1,0,1,3,银金属色,2,2,1.0,4.0,2,1.0,2.0,0.0,0.0,0.0,0
598,FDDBB464F21B46B577C0804AF35E921B,2,1,0,1,3,0,2,2,1.0,5.0,2,1.0,2.0,0.0,0.0,0.0,0
599,D2B6721B92B73EA65F7CC33D8E74ED81,1,2,0,1,3,0,2,2,1.0,5.0,2,0.0,2.0,0.0,1.0,0.0,0
601,79ED0B293749EFD39F8C5A402203D352,2,2,0,1,3,0,2,2,1.0,5.0,2,1.0,2.0,0.0,2.0,0.0,0
602,F2B36A5CE36D28FB3E45252D803510ED,1,2,0,1,3,铂青铜金属,2,2,1.0,4.0,2,1.0,3.0,0.0,3.0,0.0,0
604,985C530550FB6EF10352D639B09D9D42,2,1,0,1,3,0,2,2,1.0,5.0,2,1.0,2.0,0.0,2.0,0.0,0
606,0D80552AEEF671BD66F80B8B948B071C,1,1,0,1,3,0,2,2,1.0,5.0,2,1.0,3.0,0.0,3.0,0.0,0
608,F7B2C0ED5BDE08D60F506A61C58A57F9,1,2,0,1,3,0,2,2,1.0,5.0,2,1.0,2.0,0.0,1.0,0.0,0
613,2E5BDD04AE075F9FFE187333A33DCA66,1,1,0,1,3,黑云母色,2,2,1.0,4.0,2,1.0,3.0,0.0,0.0,2.0,0
617,662C557F111FA3D8C9ABBF156ED8AB14,2,1,0,1,3,铂青铜金属,2,3,1.0,5.0,2,1.0,2.0,2.0,1.0,0.0,0
619,8BA4F0B517D82D8F7F8E156E4A86C909,2,2,0,1,3,0,2,2,1.0,5.0,2,1.0,3.0,0.0,3.0,0.0,0
623,EDDEE15C2B1FF6978EF9C20AFECAA68E,1,2,已婚,1,3,0,2,2,1.0,5.0,2,1.0,3.0,0.0,0.0,0.0,0
624,E5DA362BF7CAD94C9A1130E6D1875F08,2,1,0,1,3,0,2,2,1.0,3.0,2,1.0,3.0,0.0,0.0,0.0,0
625,B3F7874EF6E9D5CD8FA1AF5B32F8FAC4,1,1,0,1,3,铂青铜金属,2,2,1.0,3.0,2,1.0,3.0,0.0,0.0,1.0,0
626,D68E700D48F907894A376B87FABCCB18,1,2,0,1,3,0,2,2,1.0,5.0,2,1.0,3.0,0.0,0.0,0.0,0
630,D9F48F664C2707E4E4A9669D23C38E9A,1,1,已婚,1,3,0,2,2,1.0,4.0,1,1.0,3.0,0.0,0.0,0.0,0
633,FE00E0B2DEB88FEE5679DB279CE366A6,1,2,0,1,3,0,2,2,1.0,5.0,2,1.0,3.0,0.0,0.0,0.0,0
643,37435DE00CAB2CBA08852263464B0FF1,1,3,0,1,3,冰玉蓝金属,2,2,1.0,4.0,2,1.0,2.0,0.0,0.0,0.0,0
747,8711366BDA427F9A3A2FDA67D946517E,1,1,0,1,3,0,2,2,1.0,5.0,2,1.0,3.0,0.0,0.0,0.0,0
748,83A1B0BB7D518F40687B87781C237A9F,1,2,0,1,3,0,2,2,1.0,3.0,2,1.0,3.0,0.0,0.0,0.0,0
752,D2135E6807D16DE2AEB9A6E460E5D9E7,1,2,0,1,3,0,2,2,1.0,4.0,2,1.0,2.0,0.0,0.0,0.0,0
756,D4FE1EA200263E3B30DA7DA7A9ADF0A2,1,1,0,1,3,0,2,2,1.0,7.0,2,1.0,2.0,0.0,1.0,0.0,0
757,5E8D8EFEBAFFA994EF98F422EBC98396,1,1,0,1,3,0,2,2,1.0,5.0,2,1.0,2.0,0.0,2.0,0.0,0
762,AFC773C4A57CCF8ADB0CD1486713F478,1,2,0,1,3,0,2,2,1.0,5.0,2,1.0,2.0,0.0,0.0,0.0,0
764,4C709C0522B08D493661EABD53B4E992,1,2,0,1,3,0,2,2,1.0,4.0,2,0.0,2.0,0.0,0.0,0.0,0
771,984F44BBADB9A076C26D1D8FFC6DDED3,2,1,0,1,3,0,2,2,1.0,7.0,2,1.0,3.0,0.0,0.0,0.0,0
